Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,707502,-,-,-,42.01,12.22,0,172,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI
2019,1,1,0,30,0,0,0,0,0,0
2019,1,1,1,30,0,0,0,0,0,0
2019,1,1,2,30,0,0,0,0,0,0
2019,1,1,3,30,0,0,0,0,0,0
2019,1,1,4,30,0,0,0,0,0,0
2019,1,1,5,30,0,0,0,0,0,0
2019,1,1,6,30,0,0,0,0,0,0
2019,1,1,7,30,96,30,542,30,542,96
2019,1,1,8,30,239,47,756,47,756,239
2019,1,1,9,30,354,56,843,56,843,354
2019,1,1,10,30,420,62,874,62,874,420
2019,1,1,11,30,434,63,879,63,879,434
2019,1,1,12,30,392,60,860,60,860,392
2019,1,1,13,30,298,53,797,53,797,298
2019,1,1,14,30,167,41,660,41,660,167
2019,1,1,15,30,18,17,31,17,313,31
2019,1,1,16,30,0,0,0,0,0,0
2019,1,1,17,30,0,0,0,0,0,0
2019,1,1,18,30,0,0,0,0,0,0
2019,1,1,19,30,0,0,0,0,0,0
2019,1,1,20,30,0,0,0,0,0,0
2019,1,1,21,30,0,0,0,0,0,0
2019,1,1,22,30,0,0,0,0,0,0
2019,1,1,23,30,0,0,0,0,0,0
2019,1,2,0,30,0,0,0,0,0,0
2019,1,2,1,30,0,0,0,0,0,0
2019,1,2,2,30,0,0,0,0,0,0
2019,1,2,3,30,0,0,0,0,0,0
2019,1,2,4,30,0,0,0,0,0,0
2019,1,2,5,30,0,0,0,0,0,0
2019,1,2,6,30,0,0,0,0,0,0
2019,1,2,7,30,85,43,342,43,342,85
2019,1,2,8,30,224,65,626,65,626,224
2019,1,2,9,30,347,66,796,66,796,347
2019,1,2,10,30,248,177,172,68,860,422
2019,1,2,11,30,247,184,148,67,877,438
2019,1,2,12,30,398,66,855,66,855,398
2019,1,2,13,30,304,59,792,59,792,304
2019,1,2,14,30,170,45,649,45,649,170
2019,1,2,15,30,31,18,279,18,279,31
2019,1,2,16,30,0,0,0,0,0,0
2019,1,2,17,30,0,0,0,0,0,0
2019,1,2,18,30,0,0,0,0,0,0
2019,1,2,19,30,0,0,0,0,0,0
2019,1,2,20,30,0,0,0,0,0,0
2019,1,2,21,30,0,0,0,0,0,0
2019,1,2,22,30,0,0,0,0,0,0
2019,1,2,23,30,0,0,0,0,0,0
2019,1,3,0,30,0,0,0,0,0,0
2019,1,3,1,30,0,0,0,0,0,0
2019,1,3,2,30,0,0,0,0,0,0
2019,1,3,3,30,0,0,0,0,0,0
2019,1,3,4,30,0,0,0,0,0,0
2019,1,3,5,30,0,0,0,0,0,0
2019,1,3,6,30,0,0,0,0,0,0
2019,1,3,7,30,97,36,504,36,504,97
2019,1,3,8,30,241,56,727,56,727,241
2019,1,3,9,30,359,67,824,67,824,359
2019,1,3,10,30,429,73,864,73,864,429
2019,1,3,11,30,444,74,872,74,872,444
2019,1,3,12,30,402,72,847,72,847,402
2019,1,3,13,30,308,63,786,63,786,308
2019,1,3,14,30,174,48,644,48,644,174
2019,1,3,15,30,34,20,284,20,284,34
2019,1,3,16,30,0,0,0,0,0,0
2019,1,3,17,30,0,0,0,0,0,0
2019,1,3,18,30,0,0,0,0,0,0
2019,1,3,19,30,0,0,0,0,0,0
2019,1,3,20,30,0,0,0,0,0,0
2019,1,3,21,30,0,0,0,0,0,0
2019,1,3,22,30,0,0,0,0,0,0
2019,1,3,23,30,0,0,0,0,0,0
2019,1,4,0,30,0,0,0,0,0,0
2019,1,4,1,30,0,0,0,0,0,0
2019,1,4,2,30,0,0,0,0,0,0
2019,1,4,3,30,0,0,0,0,0,0
2019,1,4,4,30,0,0,0,0,0,0
2019,1,4,5,30,0,0,0,0,0,0
2019,1,4,6,30,0,0,0,0,0,0
2019,1,4,7,30,52,44,71,39,440,93
2019,1,4,8,30,235,63,671,63,671,235
2019,1,4,9,30,357,71,804,71,804,357
2019,1,4,10,30,429,75,854,75,854,429
2019,1,4,11,30,445,75,869,75,869,445
2019,1,4,12,30,405,70,855,70,855,405
2019,1,4,13,30,311,61,796,61,796,311
2019,1,4,14,30,177,47,660,47,660,177
2019,1,4,15,30,36,20,313,20,313,36
2019,1,4,16,30,0,0,0,0,0,0
2019,1,4,17,30,0,0,0,0,0,0
2019,1,4,18,30,0,0,0,0,0,0
2019,1,4,19,30,0,0,0,0,0,0
2019,1,4,20,30,0,0,0,0,0,0
2019,1,4,21,30,0,0,0,0,0,0
2019,1,4,22,30,0,0,0,0,0,0
2019,1,4,23,30,0,0,0,0,0,0
2019,1,5,0,30,0,0,0,0,0,0
2019,1,5,1,30,0,0,0,0,0,0
2019,1,5,2,30,0,0,0,0,0,0
2019,1,5,3,30,0,0,0,0,0,0
2019,1,5,4,30,0,0,0,0,0,0
2019,1,5,5,30,0,0,0,0,0,0
2019,1,5,6,30,0,0,0,0,0,0
2019,1,5,7,30,94,34,486,34,486,94
2019,1,5,8,30,236,55,704,55,704,236
2019,1,5,9,30,350,66,794,66,794,350
2019,1,5,10,30,419,73,835,73,835,419
2019,1,5,11,30,291,177,265,74,839,433
2019,1,5,12,30,210,168,106,70,818,392
2019,1,5,13,30,298,64,740,64,740,298
2019,1,5,14,30,167,50,584,50,584,167
2019,1,5,15,30,24,20,70,21,231,33
2019,1,5,16,30,0,0,0,0,0,0
2019,1,5,17,30,0,0,0,0,0,0
2019,1,5,18,30,0,0,0,0,0,0
2019,1,5,19,30,0,0,0,0,0,0
2019,1,5,20,30,0,0,0,0,0,0
2019,1,5,21,30,0,0,0,0,0,0
2019,1,5,22,30,0,0,0,0,0,0
2019,1,5,23,30,0,0,0,0,0,0
2019,1,6,0,30,0,0,0,0,0,0
2019,1,6,1,30,0,0,0,0,0,0
2019,1,6,2,30,0,0,0,0,0,0
2019,1,6,3,30,0,0,0,0,0,0
2019,1,6,4,30,0,0,0,0,0,0
2019,1,6,5,30,0,0,0,0,0,0
2019,1,6,6,30,0,0,0,0,0,0
2019,1,6,7,30,97,31,537,31,537,97
2019,1,6,8,30,239,48,742,48,742,239
2019,1,6,9,30,353,59,821,59,821,353
2019,1,6,10,30,423,64,860,64,860,423
2019,1,6,11,30,439,66,867,66,867,439
2019,1,6,12,30,397,67,831,67,831,397
2019,1,6,13,30,305,61,764,61,764,305
2019,1,6,14,30,175,48,628,48,628,175
2019,1,6,15,30,37,21,290,21,290,37
2019,1,6,16,30,0,0,0,0,0,0
2019,1,6,17,30,0,0,0,0,0,0
2019,1,6,18,30,0,0,0,0,0,0
2019,1,6,19,30,0,0,0,0,0,0
2019,1,6,20,30,0,0,0,0,0,0
2019,1,6,21,30,0,0,0,0,0,0
2019,1,6,22,30,0,0,0,0,0,0
